Group,allsubjects_arousal_mean,allsubjects_craving_mean,allsubjects_related_mean,allsubjects_typicality_mean,allsubjects_valence_mean,allsubjects_valence_fromneutral_mean,allsubjects_arousal_sd,allsubjects_craving_sd,allsubjects_related_sd,allsubjects_typicality_sd,allsubjects_valence_sd,allsubjects_valence_fromneutral_sd,allsubjects_CountNeither,allsubjects_CountMeth,allsubjects_CountOpioid,allsubjects_CountBoth,allsubjects_FractionNeither,allsubjects_FractionMeth,allsubjects_FractionOpioid,allsubjects_FractionBoth,allsubjects_MethToOpioid,injectionusers_arousal_mean,injectionusers_craving_mean,injectionusers_related_mean,injectionusers_typicality_mean,injectionusers_valence_mean,injectionusers_valence_fromneutral_mean,injectionusers_arousal_sd,injectionusers_craving_sd,injectionusers_related_sd,injectionusers_typicality_sd,injectionusers_valence_sd,injectionusers_valence_fromneutral_sd,injectionusers_CountNeither,injectionusers_CountMeth,injectionusers_CountOpioid,injectionusers_CountBoth,injectionusers_FractionNeither,injectionusers_FractionMeth,injectionusers_FractionOpioid,injectionusers_FractionBoth,injectionusers_MethToOpioid,noninjectionusers_arousal_mean,noninjectionusers_craving_mean,noninjectionusers_related_mean,noninjectionusers_typicality_mean,noninjectionusers_valence_mean,noninjectionusers_valence_fromneutral_mean,noninjectionusers_arousal_sd,noninjectionusers_craving_sd,noninjectionusers_related_sd,noninjectionusers_typicality_sd,noninjectionusers_valence_sd,noninjectionusers_valence_fromneutral_sd,noninjectionusers_CountNeither,noninjectionusers_CountMeth,noninjectionusers_CountOpioid,noninjectionusers_CountBoth,noninjectionusers_FractionNeither,noninjectionusers_FractionMeth,noninjectionusers_FractionOpioid,noninjectionusers_FractionBoth,noninjectionusers_MethToOpioid,ImageSet,File,hue_mean,hue_sd,saturation_mean,saturation_sd,value_mean,value_sd,Category,p_cravingdelta_injectionVnon,selection_cost,category_number,selected,in_set
opioid Slide094.jpeg,4.82142857142857,92.8214285714286,1.64285714285714,93.8214285714286,3.85714285714286,1.92857142857143,2.9066153337538,12.1077066716435,0.67846699279881,10.9715239882315,2.20629210843099,1.53788145351954,0,3,4,21,0,0.107142857142857,0.142857142857143,0.75,0.0357142857142857,5.19047619047619,92.8571428571429,1.71428571428571,93.7142857142857,3.85714285714286,2,2.82168473822019,12.7525907731947,0.560611910581388,12.2684263748162,2.26463494377602,1.51657508881031,0,1,4,16,0,0.0476190476190476,0.19047619047619,0.761904761904762,0.142857142857143,3.71428571428571,92.7142857142857,1.42857142857143,94.1428571428571,3.85714285714286,1.71428571428571,3.09377254681539,10.8430359480834,0.975900072948533,6.30947888573405,2.19306265517513,1.70433620649269,0,2,0,5,0,0.285714285714286,0,0.714285714285714,-0.285714285714286,opioid,Slide094.jpeg,0.181,0.309,0.221,0.201,0.317,0.249,opioid_injection_hand,0.977466362121994,0.001091,5,TRUE,1
opioid Slide110.jpeg,4.75,89.75,1.35714285714286,91.5,4.42857142857143,1.21428571428571,2.73014719451236,20.5599845078483,0.731020885058378,20.280441225385,1.73052275186112,1.34321733320889,0,4,10,14,0,0.142857142857143,0.357142857142857,0.5,0.214285714285714,5.14285714285714,89.1904761904762,1.33333333333333,89.9523809523809,4.66666666666667,1.19047619047619,2.61315354094845,23.1530107062106,0.658280588604383,23.2152454014085,1.71269767715535,1.24976188208185,0,2,10,9,0,0.0952380952380952,0.476190476190476,0.428571428571429,0.380952380952381,3.57142857142857,91.4285714285714,1.42857142857143,96.1428571428571,3.71428571428571,1.28571428571429,2.93582145558064,10.5333936104363,0.975900072948533,4.56174569759471,1.70433620649269,1.70433620649269,0,2,0,5,0,0.285714285714286,0,0.714285714285714,-0.285714285714286,opioid,Slide110.jpeg,0.18,0.309,0.229,0.197,0.319,0.162,opioid_face_activities,0.731053633434897,0.001602,6,TRUE,1
opioid Slide045.jpeg,4.66666666666667,83.1481481481482,1.40740740740741,84.8888888888889,4.51851851851852,1.14814814814815,2.67466748472519,20.9774672220965,0.50071174413254,20.7741209817432,1.84745917765601,1.51158866259981,0,0,16,11,0,0,0.592592592592593,0.407407407407407,0.592592592592593,5,85.55,1.4,86.05,4.75,1.15,2.67542421623975,20.6537240174617,0.502624689950035,20.7908760353139,1.91599912097552,1.53125335660212,0,0,12,8,0,0,0.6,0.4,0.6,3.71428571428571,76.2857142857143,1.42857142857143,81.5714285714286,3.85714285714286,1.14285714285714,2.62769136406122,21.9523293047631,0.534522483824849,21.9989177222967,1.57359158493889,1.57359158493889,0,0,4,3,0,0,0.571428571428571,0.428571428571429,0.571428571428571,opioid,Slide045.jpeg,0.164,0.281,0.18,0.115,0.318,0.262,opioid_injection_instrument,0.352288962833128,0.00202,3,TRUE,0
opioid Slide079.jpeg,4.85185185185185,90.3703703703704,1.14814814814815,92.7037037037037,4.55555555555556,1.40740740740741,2.75546594836383,13.3622549575234,0.601517549056852,11.9737366920427,2.04437941182335,1.52565898143567,0,3,17,7,0,0.111111111111111,0.62962962962963,0.259259259259259,0.518518518518518,5.1,90.9,1.2,92.4,4.65,1.35,2.69307103117377,14.1044972297939,0.523148363780597,13.5273601890469,2.0332758116684,1.53125335660212,0,1,14,5,0,0.05,0.7,0.25,0.65,4.14285714285714,88.8571428571429,1,93.5714285714286,4.28571428571429,1.57142857142857,3.02371578407382,11.8381948430855,0.816496580927726,6.37330743170668,2.21466970556828,1.61834718742537,0,2,3,2,0,0.285714285714286,0.428571428571429,0.285714285714286,0.142857142857143,opioid,Slide079.jpeg,0.235,0.308,0.165,0.216,0.269,0.297,opioid_instrument_hand,0.715283020345086,0.003411,4,TRUE,1
meth Slide093.jpeg,4.78571428571429,90.75,1.71428571428571,92.75,4.14285714285714,1.5,2.5727509827124,15.7188846084362,0.658682346706236,13.5881893160527,1.81993662311887,1.31937134300421,0,3,2,23,0,0.107142857142857,0.0714285714285714,0.821428571428571,-0.0357142857142857,5,89.8571428571429,1.80952380952381,91.4285714285714,4.23809523809524,1.42857142857143,2.5298221281347,17.8361590996652,0.511766315719159,15.4388193479017,1.72929933512859,1.20712172424443,0,1,2,18,0,0.0476190476190476,0.0952380952380952,0.857142857142857,0.0476190476190476,4.14285714285714,93.4285714285714,1.42857142857143,96.7142857142857,3.85714285714286,1.71428571428571,2.79455252402309,6.34710282614945,0.975900072948533,3.45032779671177,2.19306265517513,1.70433620649269,0,2,0,5,0,0.285714285714286,0,0.714285714285714,-0.285714285714286,meth,Slide093.jpeg,0.344,0.168,0.149,0.162,0.467,0.26,meth_injection_hand,0.441855896566622,0.005426,5,TRUE,2
opioid Slide086.jpeg,4.57142857142857,93.9285714285714,1.35714285714286,93.9285714285714,4.39285714285714,1.46428571428571,2.82093458939975,11.699726402083,0.67846699279881,11.4533791598765,1.81228903169211,1.2013000012993,0,3,12,13,0,0.107142857142857,0.428571428571429,0.464285714285714,0.321428571428571,4.85714285714286,93.8571428571429,1.38095238095238,93.6666666666667,4.61904761904762,1.33333333333333,2.72554057547699,13.0930734141595,0.589592272353571,12.6504281877466,1.71686314178476,1.11055541659718,0,1,11,9,0,0.0476190476190476,0.523809523809524,0.428571428571429,0.476190476190476,3.71428571428571,94.1428571428571,1.28571428571429,94.7142857142857,3.71428571428571,1.85714285714286,3.14718316987777,6.66904719402933,0.951189731211342,7.47694870283071,2.05866345916355,1.4638501094228,0,2,1,4,0,0.285714285714286,0.142857142857143,0.571428571428571,-0.142857142857143,opioid,Slide086.jpeg,0.18,0.194,0.269,0.164,0.326,0.23,opioid_instrument_hand,0.940935545435851,0.005837,4,TRUE,2
meth Slide094.jpeg,4.89285714285714,92.2142857142857,1.78571428571429,94.25,4.35714285714286,1.5,2.72626845386504,12.6325773530982,0.629940788348712,11.2533945495965,2.02236176040467,1.47823718840556,0,3,0,25,0,0.107142857142857,0,0.892857142857143,-0.107142857142857,5.23809523809524,93,1.9047619047619,94.1904761904762,4.42857142857143,1.42857142857143,2.62497165517576,13.3491572767722,0.436435780471985,12.6949558786907,1.96396101212393,1.43427433120127,0,1,0,20,0,0.0476190476190476,0,0.952380952380952,-0.0476190476190476,3.85714285714286,89.8571428571429,1.42857142857143,94.4285714285714,4.14285714285714,1.71428571428571,2.96808419852332,10.7459848537112,0.975900072948533,5.71130874835599,2.34012616672488,1.70433620649269,0,2,0,5,0,0.285714285714286,0,0.714285714285714,-0.285714285714286,meth,Slide094.jpeg,0.372,0.163,0.126,0.132,0.472,0.23,meth_injection_hand,0.540587421393081,0.006644,5,TRUE,2
opioid Slide081.jpeg,4.46428571428571,90.5714285714286,1.35714285714286,90.0714285714286,4.46428571428571,1.60714285714286,2.96250823230165,14.8284725404742,0.67846699279881,17.1289846868434,2.11663854499504,1.44886381320204,0,3,12,13,0,0.107142857142857,0.428571428571429,0.464285714285714,0.321428571428571,4.71428571428571,89.7619047619048,1.52380952380952,90.6190476190476,4.76190476190476,1.38095238095238,2.83095137971066,16.0620819382319,0.511766315719159,15.3866051826782,1.86828161433875,1.2440333788203,0,0,10,11,0,0,0.476190476190476,0.523809523809524,0.476190476190476,3.71428571428571,93,0.857142857142857,88.4285714285714,3.57142857142857,2.28571428571429,3.45032779671177,10.9696551146029,0.899735410842437,22.9554433839205,2.69920623252731,1.88982236504614,0,3,2,2,0,0.428571428571429,0.285714285714286,0.285714285714286,-0.142857142857143,opioid,Slide081.jpeg,0.274,0.283,0.221,0.187,0.329,0.313,opioid_instrument_hand,0.55961393319923,0.006758,4,TRUE,1
meth Slide018.jpeg,4.82142857142857,88.3214285714286,0.107142857142857,90.1071428571429,4.25,1.60714285714286,2.93198923029414,23.6001468473595,0.566946709513841,20.4184725472799,2.04803428790742,1.44886381320204,1,27,0,0,0.0357142857142857,0.964285714285714,0,0,-0.964285714285714,5.09523809523809,90.5238095238095,0,93.2380952380952,4.57142857142857,1.38095238095238,2.77317078278208,18.3646917959955,0,11.5234750049834,1.88603893309307,1.32197543381829,0,21,0,0,0,1,0,0,-1,4,81.7142857142857,0.428571428571429,80.7142857142857,3.28571428571429,2.28571428571429,3.46410161513775,36.2524219223778,1.13389341902768,36.0033067264397,2.36038737740833,1.70433620649269,1,6,0,0,0.142857142857143,0.857142857142857,0,0,-0.857142857142857,meth,Slide018.jpeg,0.301,0.301,0.078,0.049,0.581,0.209,meth,0.556565309021641,0.00704599999999999,1,TRUE,0
opioid Slide113.jpeg,4.46428571428571,93.1071428571429,1.5,94.1071428571429,4.39285714285714,1.25,2.8347335475692,11.4708625582686,0.577350269189626,10.350663910409,1.72861078270825,1.3228756555323,0,1,12,15,0,0.0357142857142857,0.428571428571429,0.535714285714286,0.392857142857143,4.71428571428571,92.4761904761905,1.47619047619048,93.5238095238095,4.52380952380952,1.14285714285714,2.64844968128256,12.8476419922842,0.511766315719159,11.6130058452541,1.63153448075876,1.2363540870525,0,0,11,10,0,0,0.523809523809524,0.476190476190476,0.523809523809524,3.71428571428571,95,1.57142857142857,95.8571428571429,4,1.57142857142857,3.45032779671177,6.02771377334171,0.786795792469443,5.27347359996462,2.08166599946613,1.61834718742537,0,1,1,5,0,0.142857142857143,0.142857142857143,0.714285714285714,0,opioid,Slide113.jpeg,0.254,0.338,0.13,0.187,0.301,0.342,opioid_face_activities,0.491956233280634,0.007817,6,TRUE,1
