Original File Name:,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\data/PB-RAYUS-Admin_RTK-run_1-2014_Sep_05_0943.csv,Time:,2014_Sep_05_0943,Parameter File:,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\T1000_Physio_Baseline_Schedule1.csv,Event Codes:,[('INSTRUCT_ONSET', 1), ('TASK_ONSET', 2), ('IMAGE_ONSET', 3)]
trial_number,trial_type,event_code,absolute_time,response_time,response,result
NA,NA,1,-0.00440841540694,NA,NA,NA
NA,NA,2,19.3820037853,19.3864122008,NA,NA
0,0,3,19.4034399588,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\media/1007174_orig.bmp
1,0,3,22.391499644,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\media/1920x1200.bmp
2,0,3,25.3966183473,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\media/20050613-019-poppy.bmp
3,0,3,28.4015648495,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\media/2010-poinsettias58.bmp
4,0,3,31.3897779192,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\media/2061950.bmp
5,0,3,34.394825062,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\media/31237-flowers-close-up.bmp
6,0,3,37.3999905218,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\media/3673762322_203cb0eb03_o.bmp
7,0,3,40.4047713804,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\media/46631679.bmp
8,0,3,43.3931127455,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\media/4977034-colourful-summer-flowers-close-up.bmp
9,0,3,46.3981199742,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\media/5720_1280x800.bmp
10,0,3,49.3863786601,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\media/7119_1280x800.bmp
11,0,3,52.3914186754,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\media/7602895248_460392e700_h.bmp
12,0,3,55.3964182064,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\media/a-rose-of-unique-color-flowers-2791564-1534-1152.bmp
13,0,3,58.4014114653,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\media/beautiful-blooming-unique-flower-wallpaper.bmp
14,0,3,61.3908339333,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\media/bigpreview_PurpleFlowersOfCrocus.bmp
15,0,3,64.4113546474,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\media/Bird_of_Paradise_flower.bmp
16,0,3,67.3997188206,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\media/birds-paradise-flower-3.bmp
17,0,3,70.4046849948,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\media/Blue-Lace-Flowers.bmp
18,0,3,73.3929627824,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\media/Blue_Hydrangea_Flower_Close-up_Photography.bmp
19,0,3,76.3979976659,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\media/BlueFlowersCloseUpWallpapers8.bmp
20,0,3,79.4030057499,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\media/CaliforniaPoppy.bmp
