Original File Name:,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\data/PB-RTK-Admin_RA-run_1-2014_Aug_05_0826.csv,Time:,2014_Aug_05_0826,Parameter File:,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\T1000_Physio_Baseline_Schedule1.csv,Event Codes:,[('INSTRUCT_ONSET', 1), ('TASK_ONSET', 2), ('IMAGE_ONSET', 3)]
trial_number,trial_type,event_code,absolute_time,response_time,response,result
NA,NA,1,0.0230295367219,NA,NA,NA
NA,NA,2,27.0661002069,27.0430706702,NA,NA
0,0,3,27.083646485,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\media/1007174_orig.bmp
1,0,3,30.0911564196,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\media/1920x1200.bmp
2,0,3,33.1763185061,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\media/20050613-019-poppy.bmp
3,0,3,36.1866136864,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\media/2010-poinsettias58.bmp
4,0,3,39.1487652144,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\media/2061950.bmp
5,0,3,42.174279341,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\media/31237-flowers-close-up.bmp
6,0,3,45.2336094376,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\media/3673762322_203cb0eb03_o.bmp
7,0,3,48.2895673227,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\media/46631679.bmp
8,0,3,51.1164945664,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\media/4977034-colourful-summer-flowers-close-up.bmp
9,0,3,54.0865420846,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\media/5720_1280x800.bmp
10,0,3,57.1105717489,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\media/7119_1280x800.bmp
11,0,3,60.2338382112,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\media/7602895248_460392e700_h.bmp
12,0,3,63.0928744216,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\media/a-rose-of-unique-color-flowers-2791564-1534-1152.bmp
13,0,3,66.0893122987,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\media/beautiful-blooming-unique-flower-wallpaper.bmp
14,0,3,69.0841087984,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\media/bigpreview_PurpleFlowersOfCrocus.bmp
15,0,3,72.2254615765,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\media/Bird_of_Paradise_flower.bmp
16,0,3,75.0942206665,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\media/birds-paradise-flower-3.bmp
17,0,3,78.0883847389,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\media/Blue-Lace-Flowers.bmp
18,0,3,81.0876536899,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\media/Blue_Hydrangea_Flower_Close-up_Photography.bmp
19,0,3,84.0849113392,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\media/BlueFlowersCloseUpWallpapers8.bmp
20,0,3,87.1389503121,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\media/CaliforniaPoppy.bmp
21,0,3,90.1977587021,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\media/Calla_lily.bmp
22,0,3,93.4426605146,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\media/Caltha_palustris_close-up_flower.bmp
23,0,3,96.0888617173,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\media/Chocolate_Cosmos_by_WestLothian.bmp
24,0,3,99.0885489867,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\media/chocolatecosmosinbloom.bmp
25,0,3,102.078823174,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\media/cosmos_4.bmp
26,0,3,105.104070765,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\media/Cosmos_atrosanguineus_01.bmp
27,0,3,108.105555227,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\media/CulturalBias-FALL.bmp
28,0,3,111.168638824,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\media/Dahlias-Flowers-Close-Up-Sunny-.bmp
29,0,3,114.120166677,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\media/Daisy-purple-picture.bmp
30,0,3,117.105412977,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\media/dandelion-flowers-close-up_00065297.bmp
31,0,3,120.127442338,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\media/Dark_pink_cosmos_flower.bmp
32,0,3,123.072674516,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\media/DSCN55511-1024x768.bmp
33,0,3,126.073932038,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\media/Duct-Flower-20167.bmp
34,0,3,129.183036899,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\media/File-unidentified-pink-flower-closeup-2048px-jpg-wikipedia-the-free.bmp
35,0,3,132.09089025,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\media/flower-bouquet-00054.bmp
36,0,3,135.118110647,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\media/flower-close-to-the-camera.bmp
37,0,3,138.117744022,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\media/flower-close-up_1024x768_15729.bmp
38,0,3,141.134348076,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\media/flower_41.bmp
39,0,3,144.402240539,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\media/Flower_Cosmos_sulphureus.bmp
40,0,3,147.112814391,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\media/flowers-close-up-wallpaper.bmp
41,0,3,150.170707319,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Baseline\media/flowers-close-up-wallpaper_1920x1200_86249.bmp
