ImageSet,File,hue_mean,hue_sd,saturation_mean, saturation_sd,value_mean, value_sd
meth,Slide001.jpeg,0.22,0.299,0.024,0.015,0.882,0.093
meth,Slide002.jpeg,0.314,0.373,0.022,0.062,0.822,0.081
meth,Slide003.jpeg,0.195,0.245,0.131,0.127,0.387,0.333
meth,Slide004.jpeg,0.419,0.324,0.085,0.088,0.307,0.255
meth,Slide005.jpeg,0.504,0.199,0.141,0.08,0.145,0.129
meth,Slide006.jpeg,0.247,0.363,0.152,0.309,0.232,0.294
meth,Slide007.jpeg,0.438,0.311,0.085,0.154,0.678,0.218
meth,Slide008.jpeg,0.375,0.296,0.161,0.186,0.627,0.26
meth,Slide009.jpeg,0.458,0.257,0.312,0.206,0.548,0.22
meth,Slide010.jpeg,0.338,0.199,0.094,0.107,0.369,0.229
meth,Slide011.jpeg,0.391,0.332,0.209,0.123,0.559,0.198
meth,Slide012.jpeg,0.267,0.318,0.235,0.133,0.608,0.224
meth,Slide013.jpeg,0.587,0.022,0.101,0.076,0.869,0.105
meth,Slide014.jpeg,0.584,0.006,0.148,0.054,0.832,0.057
meth,Slide015.jpeg,0.148,0.261,0.024,0.07,0.283,0.383
meth,Slide016.jpeg,0.269,0.276,0.152,0.099,0.631,0.195
meth,Slide017.jpeg,0.228,0.255,0.332,0.227,0.462,0.251
meth,Slide018.jpeg,0.301,0.301,0.078,0.049,0.581,0.209
meth,Slide019.jpeg,0.278,0.352,0.264,0.39,0.069,0.177
meth,Slide020.jpeg,0.243,0.31,0.022,0.016,0.792,0.146
meth,Slide021.jpeg,0.411,0.32,0.302,0.197,0.345,0.273
meth,Slide022.jpeg,0.188,0.355,0.164,0.274,0.158,0.236
meth,Slide023.jpeg,0.118,0.215,0.283,0.169,0.442,0.176
meth,Slide024.jpeg,0.238,0.329,0.393,0.39,0.155,0.251
meth,Slide025.jpeg,0.432,0.338,0.372,0.202,0.257,0.237
meth,Slide026.jpeg,0.462,0.357,0.368,0.169,0.223,0.226
meth,Slide027.jpeg,0.092,0.111,0.511,0.212,0.268,0.214
meth,Slide028.jpeg,0.106,0.161,0.439,0.234,0.27,0.227
meth,Slide029.jpeg,0.321,0.275,0.304,0.273,0.58,0.156
meth,Slide030.jpeg,0.263,0.221,0.277,0.2,0.475,0.285
meth,Slide031.jpeg,0.404,0.316,0.392,0.279,0.291,0.344
meth,Slide032.jpeg,0.505,0.275,0.29,0.288,0.249,0.193
meth,Slide033.jpeg,0.709,0.182,0.225,0.178,0.192,0.224
meth,Slide034.jpeg,0.07,0.142,0.158,0.174,0.122,0.148
meth,Slide035.jpeg,0.011,0.04,0.019,0.081,0.974,0.081
meth,Slide036.jpeg,0.074,0.214,0.042,0.117,0.928,0.177
meth,Slide037.jpeg,0.256,0.23,0.091,0.092,0.365,0.152
meth,Slide038.jpeg,0.093,0.097,0.646,0.237,0.611,0.169
meth,Slide039.jpeg,0.219,0.27,0.21,0.342,0.177,0.315
meth,Slide040.jpeg,0.127,0.18,0.397,0.263,0.203,0.202
meth,Slide041.jpeg,0.376,0.264,0.189,0.207,0.49,0.118
meth,Slide042.jpeg,0.31,0.268,0.187,0.165,0.461,0.17
meth,Slide043.jpeg,0.537,0.276,0.407,0.285,0.323,0.294
meth,Slide044.jpeg,0,0,0,0,0.235,0.281
meth,Slide045.jpeg,0.221,0.237,0.292,0.23,0.421,0.283
meth,Slide046.jpeg,0.309,0.24,0.231,0.179,0.36,0.263
meth,Slide047.jpeg,0.231,0.205,0.324,0.395,0.194,0.26
meth,Slide048.jpeg,0.323,0.404,0.18,0.217,0.66,0.263
meth,Slide049.jpeg,0.501,0.38,0.06,0.104,0.912,0.122
meth,Slide050.jpeg,0.09,0.039,0.344,0.162,0.457,0.156
meth,Slide051.jpeg,0.458,0.31,0.559,0.409,0.027,0.076
meth,Slide052.jpeg,0.173,0.3,0.226,0.399,0.028,0.118
meth,Slide053.jpeg,0.032,0.137,0.012,0.056,0.982,0.072
meth,Slide054.jpeg,0.029,0.095,0.04,0.142,0.964,0.115
meth,Slide055.jpeg,0.032,0.067,0.073,0.173,0.929,0.157
meth,Slide056.jpeg,0.678,0.125,0.751,0.259,0.69,0.267
meth,Slide057.jpeg,0.455,0.299,0.123,0.134,0.179,0.212
meth,Slide058.jpeg,0.274,0.279,0.331,0.376,0.204,0.312
meth,Slide059.jpeg,0.138,0.019,0.067,0.063,0.787,0.217
meth,Slide060.jpeg,0.223,0.187,0.278,0.142,0.386,0.198
meth,Slide061.jpeg,0.659,0.354,0.116,0.102,0.41,0.309
meth,Slide062.jpeg,0.156,0.22,0.419,0.34,0.547,0.259
meth,Slide063.jpeg,0.097,0.152,0.63,0.302,0.42,0.256
meth,Slide064.jpeg,0.697,0.055,0.023,0.014,0.95,0.066
meth,Slide065.jpeg,0.012,0.085,0.009,0.084,0.99,0.072
meth,Slide066.jpeg,0.589,0.07,0.242,0.114,0.363,0.131
