"Group","ImageSet","File","Category","allsubjects_valence_mean","allsubjects_valence_sd","allsubjects_arousal_mean","allsubjects_arousal_sd","allsubjects_craving_mean","allsubjects_craving_sd","allsubjects_typicality_mean","allsubjects_typicality_sd","allsubjects_FractionNeither","allsubjects_FractionMeth","allsubjects_FractionOpioid","allsubjects_FractionBoth","allsubjects_MethToOpioid","injectionusers_valence_mean","injectionusers_valence_sd","injectionusers_arousal_mean","injectionusers_arousal_sd","injectionusers_craving_mean","injectionusers_craving_sd","injectionusers_typicality_mean","injectionusers_typicality_sd","injectionusers_FractionNeither","injectionusers_FractionMeth","injectionusers_FractionOpioid","injectionusers_FractionBoth","injectionusers_MethToOpioid","noninjectionusers_valence_mean","noninjectionusers_valence_sd","noninjectionusers_arousal_mean","noninjectionusers_arousal_sd","noninjectionusers_craving_mean","noninjectionusers_craving_sd","noninjectionusers_typicality_mean","noninjectionusers_typicality_sd","noninjectionusers_FractionNeither","noninjectionusers_FractionMeth","noninjectionusers_FractionOpioid","noninjectionusers_FractionBoth","noninjectionusers_MethToOpioid","hue_mean","hue_sd","saturation_mean","saturation_sd","value_mean","value_sd","p_cravingdelta_injectionVnon"
"control Slide001.jpeg","control","Slide001.jpeg","control_objects","5.07","1.412","2.36","2.00","14.25","22.00","11.14","20.88","0.89286","0.00000","0.07143","0.03571"," 0.07143","5.05","1.564","2.05","1.72","11.14","18.58"," 7.10","15.05","0.90476","0.00000","0.09524","0.00000"," 0.09524","5.14","0.900","3.29","2.63","23.57","29.88","23.29","31.26","0.85714","0.00000","0.00000","0.1429"," 0.00000","0.176","0.364","0.053","0.1100","0.516","0.1000","0.33213"
"control Slide002.jpeg","control","Slide002.jpeg","control_objects","4.96","0.898","2.67","2.13","13.93","23.27","16.11","25.08","0.96296","0.00000","0.03704","0.00000"," 0.03704","4.90","1.021","2.55","2.01","11.85","20.58","15.25","23.41","1.00000","0.00000","0.00000","0.00000"," 0.00000","5.14","0.378","3.00","2.58","19.86","30.82","18.57","31.33","0.85714","0.00000","0.14286","0.0000"," 0.14286","0.393","0.298","0.090","0.1500","0.611","0.1750","0.54057"
"control Slide003.jpeg","control","Slide003.jpeg","control_objects","4.96","1.478","2.68","2.11","13.50","26.65","14.57","26.98","0.92857","0.00000","0.03571","0.03571"," 0.03571","4.81","1.569","2.48","1.89"," 9.33","17.88"," 9.86","17.92","0.95238","0.00000","0.00000","0.04762"," 0.00000","5.43","1.134","3.29","2.75","26.00","43.43","28.71","43.51","0.85714","0.00000","0.14286","0.0000"," 0.14286","0.182","0.275","0.394","0.2470","0.529","0.1350","0.35759"
"control Slide004.jpeg","control","Slide004.jpeg","control_objects","4.59","1.185","2.37","1.98"," 7.78","15.80"," 8.48","16.11","1.00000","0.00000","0.00000","0.00000"," 0.00000","4.60","1.231","2.25","1.86"," 8.90","17.93"," 9.65","18.04","1.00000","0.00000","0.00000","0.00000"," 0.00000","4.57","1.134","2.71","2.43"," 4.57"," 6.88"," 5.14"," 8.76","1.00000","0.00000","0.00000","0.0000"," 0.00000","0.000","0.002","0.000","0.0000","0.544","0.2190","0.37375"
"control Slide005.jpeg","control","Slide005.jpeg","control_objects","4.61","1.595","1.93","1.54"," 6.71","15.51"," 7.54","15.66","1.00000","0.00000","0.00000","0.00000"," 0.00000","4.62","1.746","1.76","1.45"," 5.67","14.80"," 7.05","15.17","1.00000","0.00000","0.00000","0.00000"," 0.00000","4.57","1.134","2.43","1.81"," 9.86","18.37"," 9.00","18.24","1.00000","0.00000","0.00000","0.0000"," 0.00000","0.036","0.097","0.083","0.1610","0.539","0.1420","0.59789"
"control Slide006.jpeg","control","Slide006.jpeg","control_objects","4.96","1.753","2.11","1.91","12.96","27.40","12.11","22.68","0.96429","0.00000","0.00000","0.03571"," 0.00000","4.81","1.914","1.81","1.60"," 9.95","25.23"," 8.52","17.68","1.00000","0.00000","0.00000","0.00000"," 0.00000","5.43","1.134","3.00","2.58","22.00","33.62","22.86","33.05","0.85714","0.00000","0.00000","0.1429"," 0.00000","0.038","0.078","0.041","0.0940","0.525","0.1160","0.40858"
"control Slide007.jpeg","control","Slide007.jpeg","control_objects","5.11","0.577","2.89","2.12","13.89","27.42","15.67","28.19","0.96296","0.00000","0.03704","0.00000"," 0.03704","5.05","0.510","2.85","2.01"," 8.65","18.04","11.20","20.03","1.00000","0.00000","0.00000","0.00000"," 0.00000","5.29","0.756","3.00","2.58","28.86","43.29","28.43","43.78","0.85714","0.00000","0.14286","0.0000"," 0.14286","0.300","0.399","0.513","0.2270","0.517","0.2600","0.27094"
"control Slide008.jpeg","control","Slide008.jpeg","control_objects","4.81","1.241","3.37","2.32","12.74","22.41","14.15","23.59","0.96296","0.00000","0.03704","0.00000"," 0.03704","4.60","1.231","3.05","2.24"," 9.45","18.01"," 9.40","17.91","1.00000","0.00000","0.00000","0.00000"," 0.00000","5.43","1.134","4.29","2.50","22.14","31.78","27.71","33.25","0.85714","0.00000","0.14286","0.0000"," 0.14286","0.289","0.261","0.192","0.1580","0.491","0.2360","0.34808"
"control Slide009.jpeg","control","Slide009.jpeg","control_objects","4.74","0.944","2.67","1.98","16.63","26.40","11.19","17.79","0.96296","0.00000","0.00000","0.03704"," 0.00000","4.65","1.089","2.65","1.98","13.60","21.73"," 9.90","17.76","1.00000","0.00000","0.00000","0.00000"," 0.00000","5.00","0.000","2.71","2.14","25.29","37.50","14.86","18.77","0.85714","0.00000","0.00000","0.1429"," 0.00000","0.131","0.149","0.092","0.1230","0.591","0.1680","0.45942"
"control Slide010.jpeg","control","Slide010.jpeg","control_objects","4.96","1.372","2.63","1.96","13.00","19.87","12.00","19.40","0.96296","0.00000","0.00000","0.03704"," 0.00000","4.80","1.436","2.55","1.99","10.80","18.86"," 9.60","18.16","0.95000","0.00000","0.00000","0.05000"," 0.00000","5.43","1.134","2.86","2.04","19.29","22.87","18.86","22.65","1.00000","0.00000","0.00000","0.0000"," 0.00000","0.414","0.338","0.447","0.3420","0.212","0.2710","0.40044"
